machines,lead_time,a,alpha,beta,probsp_param,probsp_cost,probsp_es,probsp_fr
1,2,1,0.25,2.6315789473684212,"0, 93.75",0.4368750000000009,0.01395454545454545,0.09495301627367847
1,2,1,0.5,5.2631578947368425,"0, 85",0.420090000000003,0.04450454545454547,0.2219959567922567
1,2,1,1,10.526315789473685,"0, 85",0.4012800000000019,0.03326363636363634,0.23879359367043404
1,2,2,1,5.128205128205129,"0, 87.5",0.396980000000001,0.019600000000000003,0.20098201643191954
1,2,2,0.5,2.5641025641025643,"0, 100",0.48439999999999994,0.0,0.0
1,2,2,0.25,1.2820512820512822,"0, 82.5",0.4567550000000056,0.0773590909090909,0.2156081755721297
5,2,1,0.5,5.2631578947368425,"1, 80",1.5443850000000217,0.7978863636363633,0.6837469266598472
5,2,1,1,10.526315789473685,"1, 81.25",1.3529000000000475,0.6976863636363634,0.7239110423663314
5,2,1,0.25,2.6315789473684212,"1, 82.5",1.8046700000000115,0.7899227272727274,0.5730311476541099
5,2,2,1,5.128205128205129,"1, 78.75",1.3301000000000551,0.7817772727272725,0.7686902910573161
5,2,2,0.5,2.5641025641025643,"1, 87.5",1.5567200000000132,0.5611818181818179,0.5823123132651388
5,2,2,0.25,1.2820512820512822,"1, 85",1.7928950000000028,0.7242136363636363,0.5450267019200099
10,2,1,0.5,5.2631578947368425,"3, 92.5",2.285175000000058,1.238700000000001,0.7797644785031318
10,2,1,1,10.526315789473685,"2, 82.5",2.0271300000000387,1.096245454545454,0.8043802120957029
10,2,1,0.25,2.6315789473684212,"3, 90",2.6080100000000512,1.4881454545454542,0.7653114000222871
10,2,2,1,5.128205128205129,"2, 81.25",1.9828750000000421,1.1939590909090902,0.8337773453205474
10,2,2,0.25,1.2820512820512822,"3, 90.0",2.574365000000062,1.5157954545454548,0.775901916891134
10,2,2,0.5,2.5641025641025643,"2, 82.5",2.2690850000000506,1.1871545454545454,0.7729071171041731
30,2,1,0.5,5.2631578947368425,"0, 60",4.5457199999998394,2.943900000000001,0.8865682045898777
30,2,1,1,10.526315789473685,"0, 62.5",3.990609999999799,2.283495454545455,0.880082320417662
30,2,1,0.5,5.2631578947368425,"8, 90.0",4.014899999999829,2.67553636363636,0.9060567965915587
30,2,1,1,10.526315789473685,"7, 87.5",3.59984499999984,2.3345954545454513,0.9112564651699506
30,2,1,0.25,2.6315789473684212,"0, 58.75",5.226369999999902,3.3829409090909097,0.8692025257057523
30,2,1,0.25,2.6315789473684212,"8, 90",4.5040649999998355,2.8202636363636366,0.8810035624366626
30,2,2,1,5.128205128205129,"0, 65",3.9297199999997887,1.953727272727273,0.8611302541893748
30,2,2,0.5,2.5641025641025643,"8, 91.25",3.948454999999823,2.4682909090909115,0.8948943477978984
30,2,2,1,5.128205128205129,"6, 85.0",3.519134999999835,2.1560090909090923,0.904345826806901
30,2,2,0.25,1.2820512820512822,"0, 62.5",5.1545649999998675,2.789704545454543,0.8318908305445248
30,2,2,0.5,2.5641025641025643,"7, 88.75",3.955079999999813,2.2697500000000015,0.8804207913975836
30,2,2,0.25,1.2820512820512822,"0, 60",5.132959999999889,3.271004545454544,0.8667290898157256
1,2,2,0.5,1.2658227848101267,"0, 95",0.21389499999999964,0.010404545454545455,0.15495412779331477
1,2,1,0.25,1.2820512820512822,"0, 97.5",0.22931499999999985,0.004472727272727276,0.07513980695109522
1,2,2,0.25,0.6329113924050633,"0, 95",0.21862999999999938,0.016118181818181816,0.15341037582868744
1,2,1,0.5,2.5641025641025643,"0, 93.75",0.21403999999999934,0.017681818181818187,0.1956363095328372
1,2,1,1,5.128205128205129,"0, 92.5",0.20025499999999935,0.017427272727272732,0.24442737905184142
1,2,2,1,2.5316455696202533,"0, 91.25",0.19677999999999923,0.02139999999999998,0.289566867877799
5,2,1,0.25,1.2820512820512822,"0, 90",1.0663699999999952,0.1944,0.28717378177169073
5,2,1,0.5,2.5641025641025643,"0, 85",0.9524200000000057,0.30571363636363624,0.46472264371264915
5,2,1,1,5.128205128205129,"0, 80",0.8743050000000127,0.42461818181818184,0.6311382492100388
5,2,2,0.25,0.6329113924050633,"0, 90",1.060599999999996,0.19167272727272738,0.29106738381397235
5,2,2,0.5,1.2658227848101267,"0, 90",0.9561249999999906,0.15027272727272717,0.33479872241837627
5,2,2,1,2.5316455696202533,"0, 85.0",0.8222199999999974,0.2545863636363638,0.5328125172155734
10,2,1,0.25,1.2820512820512822,"1, 92.5",1.7808500000000027,0.7054863636363637,0.5574332344340468
10,2,1,0.5,2.5641025641025643,"1, 90",1.5367950000000232,0.7935090909090908,0.6946333976968379
10,2,1,1,5.128205128205129,"1, 91.25",1.361740000000043,0.6598681818181816,0.7113176194535173
10,2,2,0.25,0.6329113924050633,"1, 91.25",1.7726250000000099,0.7936181818181818,0.5952310275481549
10,2,2,0.5,1.2658227848101267,"1, 91.25",1.510385000000023,0.7072499999999999,0.6712573929397763
10,2,2,1,2.5316455696202533,"1, 91.25",1.3294500000000513,0.6567818181818178,0.7232073166912502
30,2,1,0.25,1.2820512820512822,"4, 92.5",3.254869999999868,2.1596045454545436,0.8490315977167769
30,2,1,0.5,2.5641025641025643,"3, 92.5",2.872874999999799,1.34715,0.7912037451388677
30,2,1,1,5.128205128205129,"3, 90.0",2.552899999999856,1.768790909090909,0.8922469805619929
30,2,2,0.5,1.2658227848101267,"4, 95.0",2.8044949999998323,1.5454818181818184,0.8269472105450806
30,2,2,0.25,0.6329113924050633,"4, 95.0",3.1749399999998316,1.6671181818181822,0.7908672149774386
30,2,2,1,2.5316455696202533,"2, 87.5",2.50895499999984,1.5824045454545455,0.8728727805777974
