policy,m,p,mttf,a,co,ce,batch_size,n,xo
bsp,1,0.2,5,1,2,5,3,1,0
probsp,1,0.2,5,1,2,5,3,0,15.0
bsp,1,0.2,5,1,2,5,5,1,0
probsp,1,0.2,5,1,2,5,5,0,10.0
bsp,1,0.2,5,1,2,10,3,1,0
probsp,1,0.2,5,1,2,10,3,1,100.0
bsp,1,0.2,5,1,2,10,5,1,0
probsp,1,0.2,5,1,2,10,5,1,100.0
bsp,1,0.2,10,1,2,5,3,0,0
probsp,1,0.2,10,1,2,5,3,0,52.5
bsp,1,0.2,10,1,2,5,5,0,0
probsp,1,0.2,10,1,2,5,5,0,55.0
bsp,1,0.2,10,1,2,10,3,1,0
probsp,1,0.2,10,1,2,10,3,0,36.25
bsp,1,0.2,10,1,2,10,5,1,0
probsp,1,0.2,10,1,2,10,5,0,31.25
bsp,1,0.2,20,1,2,5,3,0,0
probsp,1,0.2,20,1,2,5,3,0,76.25
bsp,1,0.2,20,1,2,5,5,0,0
probsp,1,0.2,20,1,2,5,5,0,76.25
bsp,1,0.2,20,1,2,10,3,0,0
probsp,1,0.2,20,1,2,10,3,0,67.5
bsp,1,0.2,20,1,2,10,5,0,0
probsp,1,0.2,20,1,2,10,5,0,67.5
bsp,1,0.5,5,1,2,5,3,1,0
probsp,1,0.5,5,1,2,5,3,0,20.0
bsp,1,0.5,5,1,2,5,5,1,0
probsp,1,0.5,5,1,2,5,5,0,20.0
bsp,1,0.5,5,1,2,10,3,1,0
probsp,1,0.5,5,1,2,10,3,1,100.0
bsp,1,0.5,5,1,2,10,5,1,0
probsp,1,0.5,5,1,2,10,5,1,100.0
bsp,1,0.5,10,1,2,5,3,0,0
probsp,1,0.5,10,1,2,5,3,0,62.5
bsp,1,0.5,10,1,2,5,5,0,0
probsp,1,0.5,10,1,2,5,5,0,60.0
bsp,1,0.5,10,1,2,10,3,1,0
probsp,1,0.5,10,1,2,10,3,0,51.25
bsp,1,0.5,10,1,2,10,5,1,0
probsp,1,0.5,10,1,2,10,5,0,50.0
bsp,1,0.5,20,1,2,5,3,0,0
probsp,1,0.5,20,1,2,5,3,0,82.5
bsp,1,0.5,20,1,2,5,5,0,0
probsp,1,0.5,20,1,2,5,5,0,82.5
bsp,1,0.5,20,1,2,10,3,0,0
probsp,1,0.5,20,1,2,10,3,0,73.75
bsp,1,0.5,20,1,2,10,5,0,0
probsp,1,0.5,20,1,2,10,5,0,75.0
bsp,2,0.2,5,1,2,5,3,2,0
probsp,2,0.2,5,1,2,5,3,2,100.0
