policy,m,lead_time,mttf,a,co,ce,batch_size,n,xo
probsp,1,uniform,5,1,2,5,5,1,100.0
probsp,1,uniform,5,1,2,10,5,1,100.0
probsp,1,uniform,10,1,2,5,5,0,40.0
probsp,1,uniform,10,1,2,10,5,0,25.0
probsp,1,uniform,20,1,2,5,5,0,70.0
probsp,1,uniform,20,1,2,10,5,0,62.5
probsp,1,deterministic,5,1,2,5,5,1,100.0
probsp,1,deterministic,5,1,2,10,5,1,100.0
probsp,1,deterministic,10,1,2,5,5,0,37.5
probsp,1,deterministic,10,1,2,10,5,1,100.0
probsp,1,deterministic,20,1,2,5,5,0,70.0
probsp,1,deterministic,20,1,2,10,5,0,65.0
probsp,1,empirical,5,1,2,5,5,1,100.0
probsp,1,empirical,5,1,2,10,5,1,100.0
probsp,1,empirical,10,1,2,5,5,0,42.5
probsp,1,empirical,10,1,2,10,5,0,22.5
probsp,1,empirical,20,1,2,5,5,0,70.0
probsp,1,empirical,20,1,2,10,5,0,61.25
probsp,5,uniform,5,1,2,5,5,5,100.0
probsp,5,uniform,5,1,2,10,5,5,100.0
probsp,5,uniform,10,1,2,5,5,0,37.5
probsp,5,uniform,10,1,2,10,5,0,26.25
probsp,5,uniform,20,1,2,5,5,0,70.0
probsp,5,uniform,20,1,2,10,5,0,63.75
probsp,5,deterministic,5,1,2,5,5,5,100.0
probsp,5,deterministic,5,1,2,10,5,4,25.0
probsp,5,deterministic,10,1,2,5,5,0,35.0
probsp,5,deterministic,10,1,2,10,5,0,27.5
probsp,5,deterministic,20,1,2,5,5,0,68.75
probsp,5,deterministic,20,1,2,10,5,0,62.5
probsp,5,empirical,5,1,2,5,5,5,100.0
probsp,5,empirical,5,1,2,10,5,4,15.0
probsp,5,empirical,10,1,2,5,5,0,35.0
probsp,5,empirical,10,1,2,10,5,0,23.75
probsp,5,empirical,20,1,2,5,5,0,68.75
probsp,5,empirical,20,1,2,10,5,0,63.75
probsp,30,uniform,5,1,2,5,5,0,45.0
probsp,30,uniform,5,1,2,10,5,10,85.0
probsp,30,uniform,10,1,2,5,5,17,100.0
probsp,30,uniform,10,1,2,10,5,6,53.75
probsp,30,uniform,20,1,2,5,5,0,70.0
probsp,30,uniform,20,1,2,10,5,1,68.75
probsp,30,deterministic,5,1,2,5,5,0,40.0
probsp,30,deterministic,5,1,2,10,5,10,80.0
probsp,30,deterministic,10,1,2,5,5,2,47.5
probsp,30,deterministic,10,1,2,10,5,0,37.5
probsp,30,deterministic,20,1,2,5,5,1,73.75
probsp,30,deterministic,20,1,2,10,5,1,71.25
probsp,30,empirical,5,1,2,5,5,11,90.0
probsp,30,empirical,5,1,2,10,5,11,85.0
probsp,30,empirical,10,1,2,5,5,4,51.25
probsp,30,empirical,10,1,2,10,5,19,100.0
probsp,30,empirical,20,1,2,5,5,1,72.5
probsp,30,empirical,20,1,2,10,5,1,70.0
