,Experiment,machines,lead_time,mttf,a,ch,ce,bsp_n,bsp_cost,probsp_n,probsp_xo,probsp_cost,rl_model,ppo_cost,dqn_cost,ddqn_cost,optuna_cost,optuna_trial,dcl_cost,ProBSP vs BSP,PPO vs BSP,DQN vs BSP,DCL vs BSP,PPO vs ProBSP,DQN vs ProBSP,DCL vs ProBSP
0,1,1,1,10,1.0,1,5,0,0.4748500000000001,0,70.0,0.211265,48271,0.21433,0.213525,0.213525,,,0.2123,0.5550910813941244,0.548636411498368,0.5503316836895864,0.5529114457197011,-0.014507845596762286,-0.01069746526873824,-0.004899060421745109
1,2,1,2,10,1.0,1,5,0,0.475225,0,62.5,0.26234,81296,0.261265,0.261195,0.261195,,,0.2619,0.447966752590878,0.4502288389710137,0.45037613761902257,0.4488926298069335,0.0040977357627506004,0.004364565068232092,0.0016772127773118698
2,3,1,3,10,1.0,1,5,0,0.4762250000000001,0,57.5,0.2941,10694,0.296595,0.294215,0.294215,,,0.2984,0.382434773478923,0.3771956533151348,0.38219329098640364,0.37340542810646243,-0.008483509010540718,-0.00039102346140779245,-0.014620877252635249
3,4,1,4,10,1.0,1,5,0,0.47555,0,56.25,0.31743,82929,0.319245,0.320345,0.320345,,,0.3208,0.33249921143938593,0.32868257806750073,0.3263694669330249,0.32541268005467355,-0.005717796049522764,-0.009183126988627418,-0.01061651387707521
4,5,1,5,10,1.0,1,5,0,0.476325,0,53.75,0.33802,59144,0.340375,0.3390049999999999,0.3390049999999999,,,0.3399,0.29035847373117096,0.2854143704403506,0.28829055791738856,0.2864115887261849,-0.006967043370214769,-0.0029140287556946413,-0.0055618010768593365
5,6,1,1,20,1.0,1,5,0,0.242925,0,85.0,0.109265,91909,0.110645,0.108985,0.108985,,,0.1182,0.550210970464135,0.5445302047957189,0.551363589585263,0.5134300710095708,-0.012629844872557474,0.0025625772205189446,-0.08177366951905915
6,7,1,2,20,1.0,1,5,0,0.24395,0,81.25,0.13262,8080,0.243575,0.133385,0.133385,,,0.1349,0.4563640090182415,0.0015372002459519839,0.45322812051649924,0.44701783152285307,-0.8366385160609262,-0.0057683607299051105,-0.017191977077363932
7,8,1,3,20,1.0,1,5,0,0.245025,0,80.0,0.149135,60283,0.242975,0.15139,0.15139,,,0.1508,0.39134782165085197,0.008366493214978048,0.38214467911437605,0.3845525966738088,-0.6292285513125693,-0.015120528380326598,-0.011164381265296543
8,9,1,4,20,1.0,1,5,0,0.2452,0,78.75,0.164125,59204,0.16368,0.16468,0.16468,,,0.1626,0.33064845024469824,0.33246329526916807,0.3283849918433932,0.3368678629690049,0.0027113480578827174,-0.0033815689261233813,0.009291698400609283
9,10,1,5,20,1.0,1,5,0,0.244075,0,73.75,0.17507,85281,0.174415,0.173315,0.173315,,,0.1732,0.2827204752637508,0.28540407661579437,0.28991088804670695,0.29038205469630235,0.003741360598617791,0.010024561603929893,0.010681441709030733
